Algorithm,Size,Cycle,Time,Memory
RUNNING,1000000,0,0.20,16672
REVERSE,1000000,0,0.17,16652
POINTSELF,1000000,0,0.43,48544
RUNNING,1000000,0,0.20,16656
REVERSE,1000000,0,0.18,16652
POINTSELF,1000000,0,0.43,48544
RUNNING,1000000,0,0.17,16660
REVERSE,1000000,0,0.18,16660
POINTSELF,1000000,0,0.42,48536
RUNNING,1000000,0,0.17,16656
REVERSE,1000000,0,0.17,16656
POINTSELF,1000000,0,0.42,48548
RUNNING,1000000,0,0.17,16648
REVERSE,1000000,0,0.17,16652
POINTSELF,1000000,0,0.44,48540
RUNNING,1000000,100000,0.17,16656
REVERSE,1000000,100000,0.19,16656
POINTSELF,1000000,100000,0.46,48564
RUNNING,1000000,100000,0.18,16660
REVERSE,1000000,100000,0.18,16664
POINTSELF,1000000,100000,0.43,48536
RUNNING,1000000,100000,0.17,16656
REVERSE,1000000,100000,0.19,16656
POINTSELF,1000000,100000,0.46,48564
RUNNING,1000000,100000,0.17,16652
REVERSE,1000000,100000,0.19,16652
POINTSELF,1000000,100000,0.44,48552
RUNNING,1000000,100000,0.18,16652
REVERSE,1000000,100000,0.19,16652
POINTSELF,1000000,100000,0.43,48540
RUNNING,1000000,200000,0.17,16660
REVERSE,1000000,200000,0.18,16656
POINTSELF,1000000,200000,0.44,48540
RUNNING,1000000,200000,0.21,16656
REVERSE,1000000,200000,0.20,16660
POINTSELF,1000000,200000,0.56,48544
RUNNING,1000000,200000,0.42,16668
REVERSE,1000000,200000,0.24,16656
POINTSELF,1000000,200000,0.68,48548
RUNNING,1000000,200000,0.24,16660
REVERSE,1000000,200000,0.22,16644
POINTSELF,1000000,200000,0.52,48540
RUNNING,1000000,200000,0.28,16664
REVERSE,1000000,200000,0.18,16656
POINTSELF,1000000,200000,0.44,48548
RUNNING,1000000,300000,0.18,16656
REVERSE,1000000,300000,0.18,16660
POINTSELF,1000000,300000,0.46,48552
RUNNING,1000000,300000,0.18,16664
REVERSE,1000000,300000,0.19,16664
POINTSELF,1000000,300000,0.45,48544
RUNNING,1000000,300000,0.17,16648
REVERSE,1000000,300000,0.18,16652
POINTSELF,1000000,300000,0.45,48544
RUNNING,1000000,300000,0.18,16664
REVERSE,1000000,300000,0.18,16652
POINTSELF,1000000,300000,0.52,48548
RUNNING,1000000,300000,0.19,16648
REVERSE,1000000,300000,0.20,16656
POINTSELF,1000000,300000,0.45,48560
RUNNING,1000000,400000,0.19,16656
REVERSE,1000000,400000,0.20,16668
POINTSELF,1000000,400000,0.44,48552
RUNNING,1000000,400000,0.17,16660
REVERSE,1000000,400000,0.19,16656
POINTSELF,1000000,400000,0.44,48552
RUNNING,1000000,400000,0.17,16648
REVERSE,1000000,400000,0.19,16660
POINTSELF,1000000,400000,0.50,48536
RUNNING,1000000,400000,0.18,16660
REVERSE,1000000,400000,0.19,16648
